model	sample_size	rep	mut_count	mean_MAF	median_MAF	sd_MAF	Q1_MAF	Q3_MAF
Emp/BloomDFE	100	39	42	0.09880952380952382	0.055	0.09695868823451541	0.03	0.11
Emp/BloomDFE	100	40	25	0.0748	0.04	0.08016233529532431	0.03	0.08999999999999997
Emp/BloomDFE	100	41	27	0.16703703703703704	0.1	0.1434148049115093	0.065	0.24
Emp/BloomDFE	100	42	33	0.11454545454545455	0.07	0.10583273681530768	0.04	0.14
Emp/BloomDFE	100	43	29	0.09379310344827586	0.05	0.07894002212817058	0.03	0.15
Emp/BloomDFE	100	44	35	0.11	0.06	0.11159274697071757	0.035	0.14
Emp/BloomDFE	100	45	49	0.062448979591836734	0.05	0.037446106397778414	0.03	0.07
Emp/BloomDFE	100	46	39	0.12179487179487179	0.07	0.11514000161980824	0.035	0.18499999999999997
Emp/BloomDFE	100	47	31	0.07161290322580646	0.04	0.07638048503789208	0.03	0.07
Emp/BloomDFE	100	48	40	0.06825	0.05	0.051335372919854315	0.03	0.08249999999999999
Emp/BloomDFE	100	49	16	0.10500000000000001	0.06	0.10066445913694333	0.0375	0.135
Emp/BloomDFE	100	50	16	0.12812500000000002	0.045	0.1582916611827673	0.037500000000000006	0.135
Emp/BloomDFE	100	51	22	0.14272727272727273	0.085	0.13725824871324432	0.042499999999999996	0.2075
Emp/BloomDFE	100	52	26	0.08153846153846155	0.05500000000000002	0.07508354321379926	0.030000000000000027	0.08750000000000001
Emp/BloomDFE	100	53	33	0.08787878787878788	0.05	0.08153824163228471	0.04	0.11
Emp/BloomDFE	100	54	31	0.11096774193548388	0.04	0.13531087265280833	0.03	0.11
Emp/BloomDFE	100	55	43	0.09186046511627907	0.05	0.10854570715894597	0.04	0.08499999999999999
Emp/BloomDFE	100	56	26	0.1276923076923077	0.060000000000000005	0.12381624101248405	0.04	0.1875
Emp/BloomDFE	100	57	26	0.10384615384615385	0.07	0.09024752287246107	0.04	0.11
Emp/BloomDFE	100	58	34	0.08294117647058823	0.04	0.0880609090781198	0.03	0.08750000000000001
Emp/BloomDFE	100	59	33	0.10363636363636364	0.07	0.10382732605804522	0.03	0.12
Emp/BloomDFE	100	60	43	0.08558139534883721	0.04	0.08829879807145612	0.03	0.11
Emp/BloomDFE	100	61	35	0.10714285714285715	0.06999999999999995	0.10156340901338515	0.03	0.15
Emp/BloomDFE	100	62	37	0.1072972972972973	0.06	0.11656301702056673	0.04	0.12
Emp/BloomDFE	100	63	27	0.08444444444444445	0.04	0.10878112581387146	0.03	0.06500000000000003
Emp/BloomDFE	100	64	25	0.1292	0.09	0.11842437812094828	0.03	0.18
Emp/BloomDFE	100	65	23	0.07739130434782608	0.04	0.08985935431168117	0.03	0.07500000000000001
Emp/BloomDFE	100	66	32	0.13999999999999999	0.045	0.1474295895367268	0.03	0.21749999999999997
Emp/BloomDFE	100	67	21	0.11952380952380952	0.08	0.09557594835920752	0.040000000000000036	0.18
Emp/BloomDFE	100	68	36	0.12916666666666668	0.06	0.13178716607794985	0.04	0.20749999999999996
Emp/BloomDFE	100	69	39	0.09282051282051283	0.040000000000000036	0.08696486640709442	0.030000000000000013	0.13
Emp/BloomDFE	100	70	29	0.09137931034482759	0.050000000000000044	0.08192872067191065	0.04	0.09
Emp/BloomDFE	100	71	28	0.0817857142857143	0.050000000000000024	0.07664509703478037	0.04	0.08499999999999999
Emp/BloomDFE	100	72	24	0.10708333333333332	0.04	0.13795018529595532	0.03	0.09999999999999998
Emp/BloomDFE	100	73	24	0.12875	0.04	0.1436878410032453	0.03	0.18000000000000002
Emp/BloomDFE	100	74	39	0.08820512820512821	0.05	0.08397592997469398	0.04	0.10999999999999999
Emp/BloomDFE	100	75	46	0.08152173913043478	0.05	0.09702158731847825	0.04	0.06
Emp/BloomDFE	100	76	36	0.11388888888888889	0.065	0.118352446477889	0.0375	0.14
Emp/BloomDFE	100	77	43	0.06186046511627907	0.04	0.06481680462413493	0.035	0.06
Emp/BloomDFE	100	78	40	0.11	0.06	0.11197527199547916	0.04	0.15
Emp/BloomDFE	100	79	41	0.09780487804878049	0.06	0.09706987676725336	0.03	0.12
Emp/BloomDFE	100	80	33	0.11303030303030304	0.05	0.12263983978720089	0.03	0.15
Emp/BloomDFE	100	81	49	0.08959183673469388	0.06	0.07788771789338454	0.04	0.12
Emp/BloomDFE	100	82	25	0.098	0.07	0.09991663191547907	0.04	0.1
Emp/BloomDFE	100	83	35	0.10514285714285714	0.05	0.11246885656695804	0.04	0.14500000000000002
Emp/BloomDFE	100	84	50	0.0786	0.04	0.0942642832786672	0.0325	0.07
Emp/BloomDFE	100	85	40	0.10975	0.06	0.11678354950889887	0.03	0.1225
Emp/BloomDFE	100	86	31	0.12193548387096774	0.07	0.12702806395540345	0.04	0.135
Emp/BloomDFE	100	87	20	0.12300000000000001	0.055	0.1253248410710091	0.04	0.1575
Emp/BloomDFE	100	88	21	0.14904761904761904	0.1	0.14418407546968431	0.04	0.22
Emp/BloomDFE	100	89	26	0.07538461538461538	0.04	0.09920607921819181	0.03	0.06
Emp/BloomDFE	100	90	34	0.10411764705882354	0.06	0.10890968310064895	0.04	0.1
Emp/BloomDFE	100	91	30	0.13433333333333333	0.07999999999999999	0.1307190547103513	0.05	0.1675
Emp/BloomDFE	100	92	25	0.1548	0.1	0.14062716664997557	0.04	0.25
Emp/BloomDFE	100	93	28	0.12428571428571429	0.065	0.12215438232700915	0.04	0.17250000000000004
Emp/BloomDFE	100	94	33	0.16303030303030303	0.1	0.14680950344930094	0.04	0.22999999999999998
Emp/BloomDFE	100	95	35	0.11800000000000001	0.06	0.11419281938896159	0.04	0.16
Emp/BloomDFE	100	96	26	0.11384615384615385	0.06	0.10792875142711225	0.03	0.17250000000000001
Emp/BloomDFE	100	97	40	0.09025	0.055	0.0991111135065731	0.04	0.1
Emp/BloomDFE	100	98	31	0.12387096774193548	0.08	0.11589297992414778	0.04	0.135
Emp/BloomDFE	100	99	29	0.11724137931034483	0.04	0.12755661352972808	0.03	0.14
Emp/BloomDFE	100	100	29	0.11172413793103449	0.05	0.11430126125779694	0.03	0.13
Emp/BloomDFE	1000	1	21	0.09866666666666667	0.047	0.10967284683700582	0.034	0.095
Emp/BloomDFE	1000	2	26	0.13603846153846155	0.0545	0.1613258766024176	0.0395	0.1325
Emp/BloomDFE	1000	3	31	0.07864516129032259	0.044	0.07531912036444079	0.0305	0.0945
