parameters	replicate	random_seed
Flynn1pct	1	2007554438537
Flynn1pct	10	2007704440132
Flynn1pct	100	2008624455964
Flynn1pct	11	2007714440335
Flynn1pct	12	2007724440523
Flynn1pct	13	2007734440694
Flynn1pct	14	2007744440862
Flynn1pct	15	2007754441058
Flynn1pct	16	2007764441214
Flynn1pct	17	2007774441400
Flynn1pct	18	2007784441592
Flynn1pct	19	2007794441777
Flynn1pct	2	2007564438715
Flynn1pct	20	2007804441962
Flynn1pct	21	2007814442129
Flynn1pct	22	2007824442314
Flynn1pct	23	2007834442498
Flynn1pct	24	2007844442671
Flynn1pct	25	2007854442866
Flynn1pct	26	2007864443033
Flynn1pct	27	2007874443217
Flynn1pct	28	2007884443381
Flynn1pct	29	2007894443568
Flynn1pct	3	2007574438885
Flynn1pct	30	2007904443754
Flynn1pct	31	2007914443918
Flynn1pct	32	2007924444114
Flynn1pct	33	2007934444284
Flynn1pct	34	2007944444449
Flynn1pct	35	2007954444614
Flynn1pct	36	2007964444787
Flynn1pct	37	2007974444961
Flynn1pct	38	2007984445128
Flynn1pct	39	2007994445293
Flynn1pct	4	2007584439057
Flynn1pct	40	2008004445478
Flynn1pct	41	2008014445664
Flynn1pct	42	2008024445834
Flynn1pct	43	2008034445999
Flynn1pct	44	2008044446168
Flynn1pct	45	2008054446348
Flynn1pct	46	2008064446515
Flynn1pct	47	2008074446688
Flynn1pct	48	2008084446861
Flynn1pct	49	2008094447042
Flynn1pct	5	2007634439215
Flynn1pct	50	2008104447213
Flynn1pct	51	2008114447405
Flynn1pct	52	2008124447583
Flynn1pct	53	2008134447753
Flynn1pct	54	2008144447925
Flynn1pct	55	2008154448091
Flynn1pct	56	2008164448262
Flynn1pct	57	2008174448434
Flynn1pct	58	2008184448627
Flynn1pct	59	2008204448816
Flynn1pct	6	2007644439416
Flynn1pct	60	2008224448995
Flynn1pct	61	2008234449181
Flynn1pct	62	2008244449362
Flynn1pct	63	2008254449527
Flynn1pct	64	2008264449704
Flynn1pct	65	2008274449911
Flynn1pct	66	2008284450094
Flynn1pct	67	2008294450260
Flynn1pct	68	2008304450428
Flynn1pct	69	2008314450598
Flynn1pct	7	2007664439612
Flynn1pct	70	2008324450756
Flynn1pct	71	2008334450923
Flynn1pct	72	2008344451094
Flynn1pct	73	2008354451281
Flynn1pct	74	2008364451458
Flynn1pct	75	2008374451636
Flynn1pct	76	2008384451813
Flynn1pct	77	2008394451985
Flynn1pct	78	2008404452163
Flynn1pct	79	2008414452324
Flynn1pct	8	2007674439790
Flynn1pct	80	2008424452492
Flynn1pct	81	2008434452656
Flynn1pct	82	2008444452842
Flynn1pct	83	2008454453029
Flynn1pct	84	2008464453188
Flynn1pct	85	2008474453378
Flynn1pct	86	2008484453546
Flynn1pct	87	2008494453699
Flynn1pct	88	2008504453870
Flynn1pct	89	2008514454033
Flynn1pct	9	2007694439970
Flynn1pct	90	2008524454222
Flynn1pct	91	2008534454395
Flynn1pct	92	2008544454563
Flynn1pct	93	2008554454755
Flynn1pct	94	2008564454916
Flynn1pct	95	2008574455097
Flynn1pct	96	2008584455269
Flynn1pct	97	2008594455451
Flynn1pct	98	2008604455632
Flynn1pct	99	2008614455802
