model	sample_size	num_bootstraps	min_defined_codons	num_codons	N_sites	S_sites	N_diffs	S_diffs	num_replicates	dNdS	dN_m_dS	boot_dN_SE	boot_dS_SE	boot_dN_over_dS_SE	boot_dN_over_dS_P	boot_dN_m_dS_SE	P_value	boot_dN_gt_dS_count	boot_dN_eq_dS_count	boot_dN_lt_dS_count	ASL_dN_gt_dS_P	ASL_dN_lt_dS_P	P_ALS	Q_ASL_BH	Q_Z_BH	site_type	pi	pi_SE
Neu/DFE1	100	1000	6	10000	20000	10000	0.080969696969697	0.118882828282828	1000	0.340544122894965	-7.83979797979798e-6	6.48841795684902e-7	1.41896865906191e-6	0.0677096808254739	4.91825531291463e-7	1.51574107756241e-6	2.31286784453733e-7	0	0	1000	1	0	0.001	0.001	3.08382379271644e-7	dN	4.04848484848485e-6	6.48841795684902e-7
Neu/DFE1	100	1000	6	10000	20000	10000	0.080969696969697	0.118882828282828	1000	0.340544122894965	-7.83979797979798e-6	6.48841795684902e-7	1.41896865906191e-6	0.0677096808254739	4.91825531291463e-7	1.51574107756241e-6	2.31286784453733e-7	0	0	1000	1	0	0.001	0.001	3.08382379271644e-7	dS	1.18882828282828e-5	1.41896865906191e-6
Neu/DFE1	1000	1000	6	10000	20000	10000	0.0710596396396396	0.0873633633633634	1000	0.406690155369174	-5.18335435435436e-6	6.13233089928757e-7	1.3165624653988e-6	0.0986646067784381	3.75685705006804e-5	1.48125418141388e-6	4.66479524864028e-4	0	0	1000	1	0	0.001	0.001	4.66479524864028e-4	dN	3.55298198198198e-6	6.13233089928757e-7
Neu/DFE1	1000	1000	6	10000	20000	10000	0.0710596396396396	0.0873633633633634	1000	0.406690155369174	-5.18335435435436e-6	6.13233089928757e-7	1.3165624653988e-6	0.0986646067784381	3.75685705006804e-5	1.48125418141388e-6	4.66479524864028e-4	0	0	1000	1	0	0.001	0.001	4.66479524864028e-4	dS	8.73633633633634e-6	1.3165624653988e-6
Neu/DFE2	100	1000	6	10000	20000	10000	0.0383858585858586	0.0974767676767677	1000	0.19689747362749	-7.82838383838384e-6	4.51135757975228e-7	1.41785363650112e-6	0.0589910382889977	8.44590053737197e-4	1.46142189400708e-6	8.47604284180282e-8	0	0	1000	1	0	0.001	0.001	1.3561668546884514e-7	dN	1.91929292929293e-6	4.51135757975228e-7
Neu/DFE2	100	1000	6	10000	20000	10000	0.0383858585858586	0.0974767676767677	1000	0.19689747362749	-7.82838383838384e-6	4.51135757975228e-7	1.41785363650112e-6	0.0589910382889977	8.44590053737197e-4	1.46142189400708e-6	8.47604284180282e-8	0	0	1000	1	0	0.001	0.001	1.3561668546884514e-7	dS	9.74767676767677e-6	1.41785363650112e-6
Neu/DFE2	1000	1000	6	10000	20000	10000	0.0284096496496496	0.0766267267267267	1000	0.185376896960291	-6.24219019019019e-6	4.35425439735054e-7	1.3703402436008e-6	0.0697986780213193	0.00791018106168821	1.46610927452709e-6	2.06580719147884e-5	0	0	1000	1	0	0.001	0.001	2.3609225045472455e-5	dN	1.42048248248248e-6	4.35425439735054e-7
Neu/DFE2	1000	1000	6	10000	20000	10000	0.0284096496496496	0.0766267267267267	1000	0.185376896960291	-6.24219019019019e-6	4.35425439735054e-7	1.3703402436008e-6	0.0697986780213193	0.00791018106168821	1.46610927452709e-6	2.06580719147884e-5	0	0	1000	1	0	0.001	0.001	2.3609225045472455e-5	dS	7.66267267267267e-6	1.3703402436008e-6
Sel/DFE1	100	1000	6	10000	20000	10000	0.743264646464647	0.741744074407441	1000	0.501024997778661	-3.70111751175118e-5	2.18048647388294e-6	4.47458515543956e-6	0.0413444032785275	8.44657622070252e-34	4.8333339252937e-6	1.89611597123756e-14	0	0	1000	1	0	0.001	0.001	5.056309256633493e-14	dN	3.71632323232323e-5	2.18048647388294e-6
Sel/DFE1	100	1000	6	10000	20000	10000	0.743264646464647	0.741744074407441	1000	0.501024997778661	-3.70111751175118e-5	2.18048647388294e-6	4.47458515543956e-6	0.0413444032785275	8.44657622070252e-34	4.8333339252937e-6	1.89611597123756e-14	0	0	1000	1	0	0.001	0.001	5.056309256633493e-14	dS	7.41744074407441e-5	4.47458515543956e-6
Sel/DFE1	1000	1000	6	10000	20000	10000	0.664177297297297	0.641227427427427	1000	0.517895265305434	-3.09138778778779e-5	2.02340273127415e-6	4.18791505139456e-6	0.0471292630470991	4.32515857814401e-28	4.57829209919784e-6	1.45546731053508e-11	0	0	1000	1	0	0.001	0.001	2.91093462107016e-11	dN	3.32088648648649e-5	2.02340273127415e-6
Sel/DFE1	1000	1000	6	10000	20000	10000	0.664177297297297	0.641227427427427	1000	0.517895265305434	-3.09138778778779e-5	2.02340273127415e-6	4.18791505139456e-6	0.0471292630470991	4.32515857814401e-28	4.57829209919784e-6	1.45546731053508e-11	0	0	1000	1	0	0.001	0.001	2.91093462107016e-11	dS	6.41227427427428e-5	4.18791505139456e-6
Sel/DFE2	100	1000	6	10000	20000	10000	0.231121212121212	0.679266666666667	1000	0.170125536451967	-5.63706060606061e-5	1.2022589603184e-6	4.15065518695842e-6	0.0201545805963148	3.14537771309855e-17	4.08660791171683e-6	2.77026519768282e-43	0	0	1000	1	0	0.001	0.001	2.216212158146256e-42	dN	1.15560606060606e-5	1.2022589603184e-6
Sel/DFE2	100	1000	6	10000	20000	10000	0.231121212121212	0.679266666666667	1000	0.170125536451967	-5.63706060606061e-5	1.2022589603184e-6	4.15065518695842e-6	0.0201545805963148	3.14537771309855e-17	4.08660791171683e-6	2.77026519768282e-43	0	0	1000	1	0	0.001	0.001	2.216212158146256e-42	dS	6.79266666666667e-5	4.15065518695842e-6
